Dataset 0,,Dataset 10,,Dataset 20,,Dataset 30,,Dataset 40,,Dataset 50,,Dataset 60,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
40.21431899761752,0.9618637610537248,40.21088291485624,0.9329147637899986,40.240245387412244,0.8877543280585859,40.23545319732119,0.8473801265414426,40.2286176833481,0.7897909213181368,50.119088699277164,0.7433181310441018,60.07300812875407,0.6463196908791102
40.59606321095128,0.9601268212179012,40.59264087252105,0.93129361994323,40.622039996626505,0.8864419735159637,40.61727529519754,0.8462993639769302,40.610508502879675,0.7892891386988989,50.50085581982934,0.7417741845233697,60.45465613177051,0.6437721791199023
40.977766191291906,0.958042493414913,40.974375922967454,0.9294794827813698,41.00386209450286,0.8853612109514513,40.99909739307389,0.8452186014124177,40.99239932241125,0.788787356079661,50.88255880016996,0.7396898567203815,60.83634536778009,0.6415720553278591
41.35945084585781,0.9558037709598515,41.35607478000877,0.9273604161816651,41.385642959386075,0.8839330604197742,41.380850769295016,0.8435588589026307,41.37429014194283,0.788285573460423,51.26430759494741,0.7379915155475762,61.218034603789675,0.639371931535816
41.74114008186739,0.9536036471678082,41.73779562797975,0.9254266231644481,41.76745589437506,0.882775100529225,41.76262705273455,0.8420921097079352,41.756190124361765,0.7878609881672217,51.64607929694326,0.7364861676898624,61.599664281031394,0.6366700251245347
42.122875132313794,0.9517895100059481,42.11955816708824,0.9238440779806978,42.14922301492723,0.881231154008493,42.14446747638563,0.8411657417954961,42.138035129456526,0.7869732189178007,52.02784183605175,0.7349036225061121,61.98128479538575,0.6338909213872171
42.504605601316506,0.9499367741810696,42.50130696186569,0.9221457368078926,42.53095806537363,0.8794170168466329,42.52627582993094,0.8399691832419287,42.51985722733288,0.7858924563532883,52.40958604938551,0.7331666826702885,62.3629327984022,0.6313434096280093
42.88630400021346,0.947813847715063,42.8830649195305,0.9205245929611239,42.912757256031576,0.8781432609670289,42.908088764919924,0.8388112233513796,42.90173430253341,0.7852748777449955,52.79133026271927,0.7314297428344649,62.74458080141865,0.6287958978688013
43.267970329004626,0.9454207306079283,43.264744992652716,0.9182472718430441,43.29454270235847,0.87675370909837,43.289897118465234,0.8376146647978122,43.28360221484658,0.7845801018106661,53.17298742862309,0.7289594284012937,63.12612343123041,0.6253606168601725
43.64967789078894,0.9433750014679584,43.646461717324385,0.9162787400291107,43.676332730129054,0.8754027558927294,43.67170547201054,0.836418106244245,43.665488452934476,0.7840397205284099,53.55473622340053,0.7272610872284884,63.50774394558477,0.6225815131228547
44.031408359791655,0.94152226564308,44.02819676777079,0.9144646028672505,44.05813650223068,0.8741675986761438,44.05350466266848,0.835144350364641,44.0473426209166,0.7832291486050256,53.93648043673429,0.7255241473926648,63.88935987849544,0.6197638107225187
44.41313424735069,0.9396309311551831,44.40994556254823,0.9127662616944453,44.43990362278285,0.8726236521554118,44.43523971311488,0.8333302132027809,44.42919678889872,0.7824185766816412,54.31822465006806,0.7237872075568412,64.27087960108881,0.6161355363987985
44.794773087479776,0.9370062220699387,44.791680612994625,0.9109521245325851,44.82164783611661,0.8708867123195881,44.81703432232914,0.8320178586601585,44.811055538324524,0.7816466034212752,54.69991846752132,0.7216256824278164,64.65246804533739,0.6130862420203527
45.17646690493304,0.9348446969409138,45.17335610467317,0.9086362047514871,45.20339204945037,0.8691497724837647,45.198847257318135,0.8308598987696095,45.19289596197561,0.7807202355088358,55.081589377756174,0.7192711639837,65.03405648958598,0.6100369476419067
45.55818821104839,0.9329147637899986,45.55507741078852,0.9067062716005719,45.58518665866464,0.8678374179411423,45.58062812220135,0.8294317482379323,45.57475471140141,0.7799482622484699,55.463296939540484,0.71722543484373,65.41554414207357,0.6061384826770583
45.93989119138902,0.9308304359870103,45.93682162412228,0.9049693317647484,45.966972104991534,0.8664478660724835,45.96245480152138,0.8283895843364383,45.956590553608805,0.7789832956730124,55.84500908276847,0.7152183043667784,65.79711884199111,0.6029733923095577
46.32157126451124,0.9285531148689306,46.31853834879396,0.9030007999508151,46.34874838843107,0.8649811168777881,46.3442356664046,0.8269614338047611,46.33838058137938,0.7776323424673718,56.22670748166542,0.7130953779007718,66.1786294016971,0.5992679206598007
46.70322384897137,0.926044201772741,46.70025965490931,0.9010708667998999,46.73050634609588,0.8633599730310193,46.725998205513086,0.8253788886210107,46.72017519059365,0.7763199879247495,56.608318833132415,0.7102390768374174,66.56012621707205,0.5954466530209889
47.08493141075568,0.923998472632771,47.08193972803153,0.8987935456818201,47.112209326436506,0.8612756452280311,47.107737837403164,0.8236033501221689,47.10200645135737,0.7753164226862738,56.989985161923585,0.7078459597302827,66.94164135822173,0.5917797800342501
47.46662980965262,0.9218755461667645,47.463656452703205,0.8968250138678868,47.49395812121395,0.8595773040552259,47.48950953939902,0.8220980022644551,47.48385145645213,0.7744286534368527,57.371683560820536,0.7057230332642761,67.3230602890541,0.5873023351241272
47.84833278999325,0.9197912183637762,47.845386921705924,0.8949722780430083,47.875706915991394,0.8578789628824206,47.871281241394875,0.8205926544067415,47.86567813577216,0.7733864895353586,57.75334530816803,0.7032913174941231,67.70452961576694,0.5832494755072056
48.22997621156601,0.91720510794155,48.22711280926495,0.8930809435551115,48.25745571076884,0.8561806217096153,48.253048361947044,0.8190487078860094,48.24749107076114,0.7722285296448096,58.13495207819134,0.7003964177677506,68.08589356927513,0.5783088466408629
48.61164254035719,0.9148119908344152,48.608815789605586,0.8909966157521232,48.63921824987733,0.854598076525865,48.63482464538658,0.8175819586913138,48.62931775008118,0.7711863657433156,58.516618406982516,0.6980033006606159,68.4673399887696,0.5740629937088498
48.99332719492309,0.9125732683793537,48.99047753695307,0.8885648999819702,49.02089374155587,0.8522821567447669,49.016550532945615,0.815690624203417,49.01114442940121,0.7701442018418213,58.898284735773686,0.6956101835534811,68.84869936083409,0.5690837661794889
49.37499352371427,0.9101801512722191,49.37219884306843,0.8866349668310551,49.40262879200226,0.8504680195829067,49.39830390916674,0.8140308816936301,49.392925294284424,0.7687160513101441,59.27988234290963,0.692638086501072,69.23010912877908,0.5645291239433293
49.756595712293894,0.9072466528828282,49.75392473062747,0.8847436323431583,49.78438674966707,0.848846875736138,49.78005728538787,0.8123711391838432,49.77466950761819,0.7669791114743205,59.661512020151356,0.6899361800897909,69.61142268640677,0.5591639097837855
50.138280366859796,0.9050079304277667,50.13563229241177,0.8826979032031884,50.1661401258882,0.8471871332263511,50.16181524305267,0.8107499953370745,50.156491605494544,0.7658983489098081,60.04316918605517,0.6874658656566195,69.9234589251396,0.5552158179664849
50.51994211420729,0.9025762146576137,50.51725738820981,0.8799573981288891,50.547893502109325,0.8455273907165641,50.54358694504853,0.8092446474793608,50.53829537759617,0.7646631916932225,60.42480802618425,0.684841156571375,,
50.90159469866742,0.9000673015614241,50.89896036855044,0.8778730703259008,50.92960564533732,0.8435202602396125,50.92536322848807,0.8077778982846653,50.92011289402884,0.7635438304656919,60.80637814465811,0.6816374675408561,,
51.283215213021776,0.8972881978241064,51.2806541860037,0.8757115451968759,51.31130862567794,0.8414359324366241,51.30709369749078,0.8059251624597867,51.30189375891205,0.7621156799340146,61.18803072911824,0.6791285544446665,,
51.664895286143995,0.8950108767060266,51.66237091067538,0.8737430133829425,51.693052839011706,0.8396989926008006,51.68880584071877,0.8039180319828352,51.68370211245736,0.7609191213804473,61.56965582491628,0.676388049370367,,
52.04657077782253,0.8926949569249285,52.04401433224814,0.8711569029607162,52.07480163378915,0.8380006514279954,52.07056379838358,0.8022968881360665,52.06546923300954,0.7593751748597153,61.95120761761541,0.6730299656877748,,
52.42820045506425,0.8899930505136474,52.425680661039316,0.8687637858535816,52.456518358460826,0.836032119614062,52.45231717460471,0.8006371456262795,52.447199702012256,0.7575224390348367,62.332809806195044,0.6700964672983839,,
52.80983013230597,0.8872911441023663,52.80737447849258,0.8666022607245567,52.83820301302673,0.8337933971590005,52.83406596938215,0.7989388044534742,52.8289714040081,0.756017091177123,62.714411994774665,0.667162968908993,,
53.191496461097145,0.8848980269952316,53.18907745883321,0.8645179329215684,53.21987392326158,0.8314388787148841,53.21575520539173,0.796738680661431,53.210747687447636,0.7545503419824275,63.09591797303698,0.6634188985962177,,
53.57315820844464,0.8824663112250786,53.570725461849655,0.8619704211623606,53.601586066489574,0.8294317482379323,53.59743069707027,0.7944227608803329,53.59253313377454,0.7531607901137687,63.477515580172934,0.6604468015438085,,
53.95473748980586,0.8793398195205963,53.95238720919715,0.8595387053922076,53.983289046830194,0.8273474204349441,53.97915658462931,0.7925314263924361,53.974286509995665,0.7515010476039817,63.859058209984696,0.6570115205351797,,
54.33637632993494,0.8767151104353517,54.33408102665041,0.8573771802631827,54.36496911995242,0.8250700993168643,54.360896216519386,0.7907558878935943,54.35600781611102,0.7495711144530666,64.24054128102861,0.653074456907313,,
54.71801975150771,0.8741290000131254,54.71576568121631,0.8551384578081211,54.74661254152518,0.8224839888946381,54.742617522634745,0.7888259547426792,54.73772454078269,0.7476025826391333,64.62209307372774,0.6497163732247206,,
55.09958986998157,0.8709253109826065,55.09739535845803,0.8524365513968402,55.12830635897845,0.8203224637656132,55.12427926998224,0.7863942389725262,55.119445846898046,0.7456726494882182,65.00358072621532,0.6458179082598723,,
55.48120580289225,0.8681076085822705,55.47902961714344,0.8497732436485772,55.51000933931907,0.818238135962625,55.50598225032286,0.784309911169538,55.50119922311917,0.7440129069784313,65.38506837870291,0.6419194432950239,,
55.86284006157764,0.8654443008340077,55.860700527378285,0.8474187252044609,55.891689412441295,0.8159608148445452,55.88771271932558,0.7824571753446594,55.8829251106782,0.7421215724905345,65.76657893840891,0.6382139716452669,,
56.24445599448832,0.8626265984336716,56.242348530394736,0.844871213445253,56.27331450823933,0.8132203097702457,56.269429443997254,0.7804886435307261,56.26461892813147,0.7399600473615096,66.14800245068496,0.6337751253981623,,
56.62602611296218,0.8594229094031527,56.62393239319964,0.8417833204037889,56.65498541847418,0.8108657913261293,56.651114098563156,0.7782499210756646,56.646299001253695,0.7376827262434298,66.52949468461622,0.629915259096332,,
57.0076557902039,0.8567210029918715,57.0056033034345,0.8394288019596725,57.03665632870904,0.808511272882013,57.03273461291751,0.7754708173383469,57.02802030736905,0.7357527930925147,66.91089528967386,0.6252834195341359,,
57.38926714167089,0.8538647019285173,57.38724214356358,0.836804092874428,57.418276843063396,0.8057321691446953,57.414437593258135,0.7733864895353586,57.40973703204071,0.7337842612785813,67.29235087205566,0.6211147639281593,,
57.770828097257386,0.8505838155719616,57.76884433214321,0.8338705944850371,57.799888194530396,0.802875868081341,57.796131410711396,0.7712249644063338,57.7914262680503,0.7315841374865382,67.6737285698949,0.6162899310508716,,
58.1524348672807,0.8476889158455889,58.15044652072284,0.8309370960956461,58.18154994187788,0.800444152311188,58.17779315805889,0.7687932486361808,58.17306968962306,0.7289980270643119,68.05514750072726,0.6118124861407487,,
58.53403247441665,0.8447168187931797,58.53208536085192,0.8283123870104017,58.56317961911961,0.7977422458999068,58.55940450952589,0.7659369475728265,58.5547552604777,0.7267670243418541,68.43650229134808,0.6067946599483696,,
58.91555677845369,0.8411271431324778,58.913682967987874,0.8253402899579925,58.94475890048083,0.7946157541954244,58.94107541976074,0.7635824291287101,58.93646648741695,0.7247521741322989,68.81792580362412,0.6023558137012648,,
59.29714980414595,0.8381164474170503,59.29525308646173,0.8221366009274734,59.32639774060991,0.7919910451101799,59.32275091143928,0.761266509347612,59.31814197909549,0.7224362543512006,69.19924852413916,0.5970677968677575,,
59.67871534117613,0.834874159723513,59.67687360081609,0.8193574971901557,59.70805032507004,0.7894821320139904,59.704366844349956,0.758448806947276,59.69976249344985,0.719657150613883,69.58061705909104,0.5921657666644332,,
60.06023964521317,0.8312844840628109,60.05848495228308,0.8165011961268014,60.089611280656534,0.7862012456574348,60.08599652159168,0.7557469005359949,60.08143798512839,0.7173412308327849,69.87526726446178,0.5880099772794628,,
60.44181434513071,0.8281193936953102,60.44002758209485,0.8130659151181726,60.47125012078562,0.7835765365721903,60.46763536172076,0.7531221914507504,60.46312263969429,0.7151025083777234,,,,
60.82332032339303,0.8243753233825348,60.82163435211816,0.8101710153918,60.85287979802734,0.7808746301609091,60.84926503896248,0.7504202850394692,60.84474773549232,0.7123620033034239,,,,
61.20484004598639,0.8207470490588146,61.20323654069779,0.8072375170024091,61.234481986606966,0.7779411317715182,61.23081683166161,0.7470622013568771,61.22634076118459,0.7093513075879965,,,,
61.58640100157288,0.817466162702259,61.58476084473483,0.803647841341707,61.61604752363715,0.774698844077981,61.61244192745965,0.7443216962825776,61.60797501987,0.7066879998397337,,,,
61.96787032828574,0.8134133030853372,61.96634928898342,0.8005985469632613,61.99766345654782,0.771881141677645,61.9940395345956,0.7413495992301684,61.989604697111716,0.7039860934284526,,,,
62.34941753954119,0.8100166207397268,62.34791024456992,0.7973176606067056,62.37922441213432,0.7686002553210893,62.375559257188954,0.737721324906448,62.37115190836717,0.7005894110828421,,,,
62.730923517803504,0.8062725504269515,62.72942996716327,0.7936893862829852,62.76076704194608,0.7651649743124604,62.757156864324905,0.7347492278540388,62.752754096946795,0.6976559126934512,,,,
63.11241575173477,0.8024126841251213,63.111004667080806,0.7905242959154846,63.14236006763835,0.762154278597033,63.138694912693,0.7312753481823917,63.13432879686434,0.6944908223259505,,,,
63.4939446372155,0.7988616071274377,63.49252438967417,0.7868960215917642,63.52388437167539,0.7585646029363309,63.52020089095531,0.7275312778696165,63.51585768234506,0.6909397453282666,,,,
63.875395638153634,0.7946543528584428,63.87406243804226,0.783422141920117,63.90540409426875,0.7549363286126105,63.901752683654436,0.7241731941870242,63.89744612659364,0.6878904509498209,,,,
64.25692452363435,0.791103275860759,64.2556371379598,0.7802570515526164,64.28694214263683,0.7514624489409634,64.28323575469834,0.7202361305591576,64.27899791929278,0.6845323672672287,,,,
64.63838010601617,0.7869346202547824,64.63710188322898,0.7761655932726763,64.66842521368073,0.7475253853130966,64.66476005873538,0.7166464548984555,64.66048557178036,0.6806339023023802,,,,
65.01987233994744,0.7830747539529523,65.01861244293497,0.7724601216229194,65.04995409916147,0.7439743083154129,65.04624771122297,0.7127479899336071,65.04204652736686,0.6773530159458245,,,,
65.40136915532239,0.7792534863141405,65.40008635109152,0.7684458606690161,65.43144633309274,0.7401144420135828,65.42768496783006,0.7084249396755573,65.42350669119236,0.6732229590028662,,,,
65.7828293191479,0.7751234293711822,65.74911347290347,0.7653229875891916,65.8129431484677,0.7362931743747709,65.80919552753606,0.7047194680258003,65.8050309952294,0.6696332833421643,,,,
66.16433071596651,0.7713407603953887,66.16306623751038,0.7606875294023374,66.19445370817368,0.732587702725014,66.1905961325937,0.7000876284636042,66.18654613637908,0.6659664103554257,,,,
66.54577255401729,0.7670563088003572,66.54453098277955,0.7565960711223976,66.57587722044973,0.7281488564779093,66.5720792036376,0.6961505648357373,66.56798797442984,0.6616819587603942,,,,
66.92724188073015,0.7630034491834357,66.92601405382345,0.7526590074945307,66.95735112860626,0.7241345955240059,66.95347980869523,0.6915187252735413,66.94949395269217,0.6579378884476189,,,,
67.30869288166829,0.7587961949144406,67.30745131043055,0.7483359572364809,67.33871050067077,0.7191553679946451,67.33492164674601,0.6872342736785098,67.33089913919348,0.653344647548441,,,,
67.69015762693746,0.7547047366345008,67.68887940415027,0.7439357096523946,67.72012485005945,0.7146393244215038,67.7163085074726,0.6824866381272586,67.71237304735001,0.6493303865945377,,,,
68.07160404643193,0.7504588837024876,68.07025252054582,0.7390722781120886,68.10144298913082,0.7093127089249782,68.09773201974863,0.678047791880154,68.09377365240766,0.6446985470323415,,,,
68.45303214015163,0.7460586361184012,68.45164854415977,0.7344018398868741,68.48278861686427,0.7042176854065625,68.47904557737633,0.67268257772061,68.47519258324002,0.6402211021222186,,,,
68.8344785596461,0.7418127831863881,68.83296210178746,0.7290366257273303,68.86407926727355,0.6986594779319271,68.86041869377186,0.6678191461803041,68.85652446664243,0.6350102826147478,,,,
69.21587916470372,0.7371809436241918,69.21429856663354,0.7238644048828778,69.24536991768282,0.6931012704572916,69.24170476273747,0.6622223400426503,69.23791132736902,0.6302626470634969,,,,
69.59730725842346,0.7327806960401055,69.59558005415546,0.7182290000822058,69.62666973097946,0.6876202603086927,69.62299541314673,0.6566641325680149,69.61918823344725,0.6245886435998065,,,,
69.96135518739229,0.7282221939376441,69.94221819170427,0.713262638773851,69.97328445226056,0.6824566169449111,69.95230786694577,0.6519985191756779,69.9311838936789,0.6202986779100581,,,,
